rank,link,Answered_Questions,Price,Discount,customer_review_count,Category
1,/TRUFF-Truffle-Limited-Coriander-Experience/dp/B07XV8LVQK/,13,34.99,0,50,grocery
2,/nutpods-Peppermint-unsweetened-dairy-free-creamer/dp/B07D54ZL26/,12,13.95,0,237,grocery
3,/Oreo-Covered-Chocolate-Sandwich-Original/dp/B07SL6ZNNK/,0,8.98,0,0,grocery
4,/MS-Chocolate-Christmas-Holiday-Baking/dp/B07T6G966L/,0,115,0,0,grocery
5,/dp/B0822LFHZC/,0,9.98,0,0,grocery
6,/nutpods-Peppermint-unsweetened-dairy-free-creamer/dp/B07GQ9T59B/,12,23.95,0,237,grocery
7,/Gingerbread-House-Kit-Traditional-Pre-assembled/dp/B07YBGB48N/,0,21,0,11,grocery
8,/Hershey-Miniatures-Chocolate-Christmas-Calendar/dp/B07TSK4JHK/,0,2.88,0,0,grocery
9,/nutpods-Collection-Unsweetened-Dairy-Free-Coconuts/dp/B07S5XDDH4/,9,0,0,102,grocery
10,/MS-Holiday-Chocolate-Christmas-38-ounce/dp/B07T7WXMNL/,0,8.98,0,1,grocery
11,/Godiva-Chocolate-Advent-Calendar-grams/dp/B07R2PTTQ8/,0,43.9,0,1,grocery
12,/Starbucks-Coffee-Holiday-Blend-K-Cup/dp/B07X6NTZ1N/,0,46.99,0,18,grocery
13,/Pukka-Herbs-Holiday-Advent-Calendar/dp/B07TF1NV7D/,0,12.99,0,14,grocery
14,/Tim-Hortons-Arabica-Medium-Original/dp/B07YCWBRS8/,0,29.95,0,0,grocery
15,/Trader-Joes-Chocolate-Advent-Calendar/dp/B07ZS7WHBR/,0,6.28,0,2,grocery
16,/VAHDAM-Turmeric-Herbal-Assorted-Gift/dp/B07X4CZSVR/,39,39.99,0,314,grocery
17,/Caramel-Keto-Co-Naturally-Sweetened/dp/B07XYFRJTF/,0,9.98,0,0,grocery
18,/STARBURST-Christmas-Chocolate-Assortment-59-8-Ounce/dp/B07WJYLC1J/,0,25.14,0,0,grocery
19,/Tim-Hortons-Single-Coffee-Original/dp/B08177PCVZ/,0,38.69,0,0,grocery
20,/Hu-Chocolate-Snacks-Gluten-Snacking/dp/B07X7GYQ14/,4,10.99,0,13,grocery
21,/Oh-Nuts-Large-Fruit-Gift/dp/B07Q6ZD19B/,8,49.99,0,13,grocery
22,/Wilder-Condiments-Mustard-Classic-Jalapeno/dp/B07YL838FD/,6,21,0,18,grocery
