rank,category,product_link,name,avg_rating,review link,rating_count,prime,Images
1,toys,/LEGO-Advent-Calendar-60235-Building/dp/B07NRT2CYD/,"            LEGO City Advent Calendar 60235 Building Kit, New 2019 (234 Pieces)        ",4.7 out of 5 stars,/product-reviews/B07NRT2CYD/,101,prime,7
2,toys,/L-L-Surprise-Amazing-Surprises/dp/B07PMN4NJD/,"            L.O.L. Surprise! Amazing Surprise with 14 Dolls, 70+ Surprises & 2 Playset        ",4.6 out of 5 stars,/product-reviews/B07PMN4NJD/,108,prime,6
3,toys,/PJ-Masks-95686-Advent-Calendar/dp/B07Q4QYWP2/,            PJ Masks Advent Calendar - Amazon Exclusive        ,5.0 out of 5 stars,/product-reviews/B07Q4QYWP2/,2,prime,3
4,toys,/Frozen-12902-Styling-Head-Elsa/dp/B074B6XXWB/,            Frozen Styling Head - Elsa        ,3.3 out of 5 stars,/product-reviews/B074B6XXWB/,61,prime,7
5,toys,/L-L-Surprise-Secret-Dollface/dp/B07PMN4BZP/,            L.O.L. Surprise! O.M.G. Winter Disco Dollie Fashion Doll & Sister        ,4.4 out of 5 stars,/product-reviews/B07PMN4BZP/,64,prime,6
6,toys,/L-L-Surprise-Winter-Exclusive/dp/B07R7XGBQ5/,            L.O.L. Surprise! Winter Disco Bigger Surprise includes O.M.G. Fashion Doll (Amazon Exclusive)        ,4.2 out of 5 stars,/product-reviews/B07R7XGBQ5/,41,prime,6
7,toys,/Disney-Frozen-Basic-Animal-Elsa/dp/B07MC8SZ7V/,            Disney Frozen Elsa Fashion Doll & Nokk Figure Inspired by Frozen 2        ,5.0 out of 5 stars,/product-reviews/B07MC8SZ7V/,7,no prime,4
8,toys,/L-L-Surprise-Hairvibes-Hairpieces/dp/B07XSQ644G/,            L.O.L. Surprise! #Hairvibes Dolls with 15 Surprises & Mix & Match Hairpieces        ,not found,not found,not found,prime,6
9,toys,/BEYBLADE-Slingshock-Collision-Beystadium-Launchers/dp/B07R8WQLRR/,"            BEYBLADE Burst Turbo Slingshock Cross Collision Battle Set -- Complete Set with Burst Beystadium, Battling Tops, & Launchers -- Age 8+        ",4.0 out of 5 stars,/product-reviews/B07R8WQLRR/,36,prime,6
10,toys,/Tara-Toys-Frozen2-Necklace-Activity/dp/B07SZX4BPV/,            Tara Toys Disney Frozen2 Necklace Activity Set        ,4.6 out of 5 stars,/product-reviews/B07SZX4BPV/,999,prime,5
11,toys,/L-L-Surprise-Secret-Winter/dp/B07PS25DT4/,            L.O.L. Surprise! O.M.G. Winter Disco Cosmic Nova Fashion Doll & Sister        ,4.6 out of 5 stars,/product-reviews/B07PS25DT4/,34,prime,6
12,toys,/Osmo-Studio-Disney-Favorites-Required/dp/B07PY4QTN9/,"            Osmo - Super Studio Disney Frozen 2 Game - Ages 5-11 - Learn To Draw Elsa, Anna, Olaf & More Favorites & Watch Them Come to Life - (For iPad & Fire Tablet Base Required)        ",4.3 out of 5 stars,/product-reviews/B07PY4QTN9/,11,prime,6
13,toys,/L-L-Surprise-Secret-Winter/dp/B07PMN4NJX/,            L.O.L. Surprise! O.M.G. Winter Disco Snowlicious Fashion Doll & Sister        ,4.6 out of 5 stars,/product-reviews/B07PMN4NJX/,55,prime,6
14,toys,/LEGO-Advent-Calendar-75245-Building/dp/B07Q1K2ZYZ/,            LEGO Star Wars 2019 Advent Calendar 75245 Holiday Gift Set Building Kit with Star Wars Minifigure Characters (280 Pieces)        ,4.8 out of 5 stars,/product-reviews/B07Q1K2ZYZ/,76,no prime,7
15,toys,/LEGO-Disney-Frozen-Adventure-Building/dp/B07PX3V58M/,"            LEGO Disney Frozen II Elsa’s Wagon Carriage Adventure 41166 Building Kit with Elsa & Sven Toy Figure, New 2019 (116 Pieces)        ",4.9 out of 5 stars,/product-reviews/B07PX3V58M/,24,prime,6
16,toys,/NERF-Fortnite-Targets-Blaster-Exclusive/dp/B07R9G84X7/,"            NERF Fortnite Sp-R & Llama Targets -- Includes Sp-R Blaster, 3 Llama Targets, & 6 (Amazon Exclusive)        ",4.2 out of 5 stars,/product-reviews/B07R9G84X7/,25,prime,2
