rank,category,sentiment score
1,electronics,0.5079308539999999
1,fashion,0.9801660179999999
1,grocery,0.6514725893000001
1,homeneeds,0.42025578029999994
1,pc,0.5146212186
1,petsupplies,0.5614754321
1,toys,0.7156698554
2,electronics,0.6377090692999999
2,fashion,0.7549084038
2,grocery,0.8372304081999999
2,homeneeds,0.7570762158000001
2,pc,0.5146212186
2,petsupplies,0.752412638
2,toys,0.8256844223000002
3,electronics,0.6377090692999999
3,fashion,0.7660149126999999
3,grocery,0.76495672775
3,homeneeds,0.41207070349999997
3,pc,0.5146212186
3,petsupplies,0.8481952546666668
3,toys,0.9472906590000001
4,electronics,0.7663457901
4,fashion,0.776502877
4,grocery,0.7239852790000001
4,homeneeds,0.8694952307999999
4,pc,0.5146212186
4,petsupplies,0.6303028227999999
4,toys,0.2555450796
5,electronics,0.6190625545999999
5,fashion,0.7145119756999999
5,grocery,0.7239852790000001
5,homeneeds,0.9332174717999999
5,pc,0.6264181136
5,petsupplies,0.9107665301000001
5,toys,0.5402970225
6,electronics,0.7477615565
6,fashion,0.6484030067000001
6,grocery,0.8372304081999999
6,homeneeds,0.3879048169
6,pc,0.5146212186
6,petsupplies,0.6863150684999999
6,toys,0.5431058705
7,electronics,0.5079308539999999
7,fashion,0.5741935731
7,grocery,0.6352121739000001
7,homeneeds,0.7475045834285714
7,pc,0.8429325044
7,petsupplies,0.6428613274999999
7,toys,0.93838146325
8,electronics,0.6883909255
8,fashion,0.8432307063
8,grocery,0.5870653658
8,homeneeds,0.7847249538
8,pc,0.873294741
8,petsupplies,0.7315707088000001
8,toys,0.7427823440000001
9,electronics,0.5079308539999999
9,fashion,0.7866802573999998
9,grocery,0.9036375463999999
9,homeneeds,0.7701604604
9,pc,0.5146212186
9,petsupplies,0.9247052726999998
9,toys,0.7406786977
10,electronics,0.47299669069999994
10,fashion,0.9467909872
10,grocery,0.924017966
10,homeneeds,0.8866375028
10,pc,0.5146212186
10,petsupplies,0.9303484857
10,toys,0.700118047
11,electronics,0.8642347453333333
11,fashion,0.776502877
11,grocery,0.7239852790000001
11,homeneeds,0.7489754468
11,pc,0.6264181136
11,petsupplies,0.6428613269
11,toys,0.8587799014000002
12,electronics,0.5079308539999999
12,fashion,0.7368079155
12,grocery,0.6443265320000001
12,homeneeds,0.8009488700999998
12,pc,0.6264181136
12,petsupplies,0.68631507
12,toys,0.830916814625
13,electronics,0.6264181165999999
13,fashion,0.9222641111
13,grocery,0.8980076015000001
13,homeneeds,0.5834959984999999
13,pc,0.5146212186
13,petsupplies,0.602156495
13,toys,0.8102119296
14,electronics,0.7517771959
14,fashion,0.776502877
14,grocery,0.7674669982
14,homeneeds,0.7924543230000001
14,pc,0.5146212186
14,petsupplies,0.5924924409999999
14,toys,0.7642205240000001
15,electronics,0.7603356451999999
15,fashion,0.7711417585
15,grocery,0.093380839
15,homeneeds,0.41282150133333334
15,pc,0.5146212186
15,petsupplies,0.39083383666666666
15,toys,0.9511965870999999
16,electronics,0.7663457901
16,fashion,0.832925707
16,grocery,0.9102086662
16,homeneeds,0.8183552205
16,pc,0.5146212186
16,petsupplies,0.5206116650000001
16,toys,0.824476999
17,electronics,0.5079308539999999
17,fashion,0.7280683013
17,grocery,0.7619966864000001
17,homeneeds,0.7389423727000001
17,pc,0.6264181136
17,petsupplies,0.555952546
17,toys,0.8872290551
18,electronics,0.2596726419
18,fashion,0.8802092433
18,grocery,0.7239852790000001
18,homeneeds,0.9081022082999999
18,pc,0.4208096565
18,petsupplies,0.27146653
18,toys,0.551325925
19,electronics,0.656968382
19,fashion,0.8251049578
19,grocery,0.7239852790000001
19,homeneeds,0.9620453720000001
19,pc,0.8077895909
19,petsupplies,0.5792589939999999
19,toys,0.9128663303
20,electronics,0.6546550243
20,fashion,0.8410239578000003
20,grocery,0.9421653926000001
20,homeneeds,0.7805614532
20,pc,0.5146212186
20,petsupplies,0.583681885
20,toys,0.88672176
21,electronics,0.5090868594
21,fashion,0.776502877
21,grocery,0.9524956822
21,homeneeds,0.9045342267999998
21,pc,0.5146212186
21,petsupplies,0.815559337
21,toys,0.8494419039000001
22,electronics,0.7324698417500001
22,fashion,0.776502877
22,grocery,0.9080186247
22,homeneeds,0.5599548249999999
22,pc,0.7090054422
22,petsupplies,0.35258979700000004
22,toys,0.7770950345
23,electronics,0.7733095526999999
23,fashion,0.993700027
23,grocery,0.5766300617999999
23,homeneeds,0.7334648908000001
23,pc,0.4755095870999999
23,petsupplies,0.689643279
23,toys,0.6398051283333334
24,electronics,0.8429325044
24,fashion,0.7184318812000001
24,grocery,0.6212815224999999
24,homeneeds,0.8609112263
24,pc,0.6258587391000001
24,petsupplies,0.8170097000000001
24,toys,0.7616542014444445
25,electronics,0.2218148469
25,fashion,0.7524666994
25,grocery,0.34829050889999996
25,homeneeds,0.5268439621999998
